                  Wedge	                    muS	                    muI	
           4.5440422209	           0.9646301122	           0.0003698878	
           3.3125752755	           0.9630087757	           0.0017245654	
           2.6499788473	           0.9575073446	           0.0059827256	
           2.2891547999	           0.9423269309	           0.0168500826	
           2.0523715732	           0.9059790749	           0.0410504049	
           1.8809412337	           0.8296497181	           0.0877857714	
           1.7492283096	           0.6926580585	           0.1614910572	
           1.6440126711	           0.4969927345	           0.2407345143	
           1.5575959329	           0.3002976259	           0.2638796935	
           1.4851492047	           0.1768699151	           0.1970716903	
           1.4234146480	           0.1251034755	           0.1067655315	
           1.3701308393	           0.1060912975	           0.0488084784	
           1.3236302710	           0.0989965479	           0.0207163001	
           1.2826704060	           0.0962819911	           0.0084960960	
           1.2463142873	           0.0952327397	           0.0034203558	
           1.2138541993	           0.0948267779	           0.0013605203	
           1.1847314339	           0.0946701740	           0.0005363001	
           1.1585286629	           0.0946100233	           0.0002098223	
           1.1350156366	           0.0945870250	           0.0000815558	
           1.1139379650	           0.0945782694	           0.0000315164	
           1.0952488298	           0.0945749490	           0.0000121160	
           1.0789768267	           0.0945736940	           0.0000046364	
           1.0652286039	           0.0945732208	           0.0000017670	
           1.0541623544	           0.0945730428	           0.0000006712	
           1.0459582868	           0.0945729759	           0.0000002542	
           1.0409784731	           0.0945729508	           0.0000000961	
           1.0393684443	           0.0945729413	           0.0000000363	
           1.0413084181	           0.0945729377	           0.0000000137	
           1.0467008321	           0.0945729364	           0.0000000052	
           1.0551035236	           0.0945729359	           0.0000000020	
           1.0663909557	           0.0945729357	           0.0000000007	
           1.0789959193	           0.0945729356	           0.0000000003	
           1.0927477216	           0.0945729356	           0.0000000001	
           1.1055198495	           0.0945729356	           0.0000000000	
           1.1171707079	           0.0945729356	           0.0000000000	
           1.1268358845	           0.0945729356	           0.0000000000	
           1.1342040761	           0.0945729356	           0.0000000000	
           1.1387374707	           0.0945729356	           0.0000000000	
           1.1414021684	           0.0945729356	           0.0000000000	
           1.1732304300	           0.0945729356	           0.0000000000	
           1.2113620397	           0.0945729356	           0.0000000000	
           1.2471729973	           0.0945729356	           0.0000000000	
           1.2803659705	           0.0945729356	           0.0000000000	
           1.3089719137	           0.0945729356	           0.0000000000	
           1.3330030989	           0.0945729356	           0.0000000000	
           1.3515173337	           0.0945729356	           0.0000000000	
           1.3633980260	           0.0945729356	           0.0000000000	
           1.3697426618	           0.0945729356	           0.0000000000	
           1.3707525571	           0.0945729356	           0.0000000000	
           1.3657279815	           0.0945729356	           0.0000000000	
           1.3582871468	           0.0945729356	           0.0000000000	
           1.3462287237	           0.0945729356	           0.0000000000	
           1.3329258757	           0.0945729356	           0.0000000000	
           1.3174701629	           0.0945729356	           0.0000000000	
           1.3006537646	           0.0945729356	           0.0000000000	
           1.2840293639	           0.0945729356	           0.0000000000	
           1.2669038991	           0.0945729356	           0.0000000000	
           1.2502409986	           0.0945729356	           0.0000000000	
           1.2350967124	           0.0945729356	           0.0000000000	
           1.2172791096	           0.0945729356	           0.0000000000	
           1.2048127583	           0.0945729356	           0.0000000000	
           1.1904794451	           0.0945729356	           0.0000000000	
           1.1774543387	           0.0945729356	           0.0000000000	
           1.1666536459	           0.0945729356	           0.0000000000	
           1.1535857289	           0.0945729356	           0.0000000000	
           1.1515925867	           0.0945729356	           0.0000000000	
           1.1371724337	           0.0945729356	           0.0000000000	
           1.1338832645	           0.0945729356	           0.0000000000	
           1.1318359704	           0.0945729356	           0.0000000000	
           1.1273550436	           0.0945729356	           0.0000000000	
           1.1243807030	           0.0945729356	           0.0000000000	
           1.1189140607	           0.0945729356	           0.0000000000	
           1.1312497725	           0.0945729356	           0.0000000000	
           1.1155810575	           0.0945729356	           0.0000000000	
           1.1133256866	           0.0945729356	           0.0000000000	
           1.1164524312	           0.0945729356	           0.0000000000	
           1.0936899056	           0.0945729356	           0.0000000000	
           1.0893772667	           0.0945729356	           0.0000000000	
           1.0609254193	           0.0945729356	           0.0000000000	
           1.0286510794	           0.0945729356	           0.0000000000	
           1.0092047654	           0.0945729356	           0.0000000000	
           0.9868489905	           0.0945729356	           0.0000000000	
           0.8970517232	           0.0945729356	           0.0000000000	
           0.8368446033	           0.0945729356	           0.0000000000	
           0.8382085550	           0.0945729356	           0.0000000000	
           0.8395588672	           0.0945729356	           0.0000000000	
           0.8408956763	           0.0945729356	           0.0000000000	
           0.8422191173	           0.0945729356	           0.0000000000	
           0.8435293239	           0.0945729356	           0.0000000000	
           0.8448264284	           0.0945729356	           0.0000000000	
           0.8461105619	           0.0945729356	           0.0000000000	
           0.8473818540	           0.0945729356	           0.0000000000	
           0.8486404333	           0.0945729356	           0.0000000000	
